key,N,L,mse,rmse,fmse
N=4L=5-test2,4.0,5.0,0.0008826710321386678,0.013092447840374631,732.1626631084677
N=4L=8-test2,4.0,8.0,0.0017094561156082281,0.016831185405478864,218.236466572169
N=4L=10-test2,4.0,10.0,0.0015444261444252088,0.016810248740988677,150.54313511330386
N=4L=15-test2,4.0,15.0,0.0006906354594790288,0.012680150226153373,68.30234964283936
N=4L=17-test2,4.0,17.0,0.0009681606059559654,0.014461452993288302,73.05873911362822
N=4L=20-test2,4.0,20.0,0.0010320705046962329,0.015405667669207333,69.05685514108153
N=4L=22-test2,4.0,22.0,0.0008698223565530844,0.016502388854677655,60.12724563635222
N=4L=25-test2,4.0,25.0,0.0005949794326731169,0.012982443505764772,63.52005733284892
N=4L=30-test2,4.0,30.0,0.002710035097486638,0.023162794344460547,70.02452425976105
N=4L=40-test2,4.0,40.0,0.0018701788132657199,0.020590097907815505,78.83174516709852
N=4L=60-test2,4.0,60.0,0.0024537577791722267,0.02661237486136357,99.36464838663272
N=6L=5-test2,6.0,5.0,0.002165148981373042,0.0181610961638429,5874.462977669074
N=6L=8-test2,6.0,8.0,0.004336222501073588,0.02560596399283685,659.2629913045954
N=6L=10-test2,6.0,10.0,0.0037679943667439987,0.028621470333905545,481.9222173003016
N=6L=15-test2,6.0,15.0,0.0026572879826574215,0.021769807083762218,108.63868908524577
N=6L=17-test2,6.0,17.0,0.003229717393993649,0.02693901054220325,85.5812003813912
N=6L=20-test2,6.0,20.0,0.0021016206892788118,0.022098723742630878,52.267446750154505
N=6L=22-test2,6.0,22.0,0.0023914739477899696,0.022665357855856855,57.067873820962525
N=6L=25-test2,6.0,25.0,0.0033545143513373354,0.026928134910742783,63.08134513494161
N=6L=30-test2,6.0,30.0,0.004796884221880455,0.029348596065858518,48.09030421874971
N=6L=40-test2,6.0,40.0,0.005052882072636452,0.03656603668999795,101.62181295971213
N=6L=60-test2,6.0,60.0,0.00527758050400514,0.03435170447077445,99.8304663935811
N=8L=5-test2,8.0,5.0,0.0059199560057001865,0.03832060163266896,6315.348282966957
N=8L=8-test2,8.0,8.0,0.005627277710036202,0.03723119196812304,3010.1018273549494
N=8L=10-test2,8.0,10.0,0.005354192061897714,0.0367542912656538,1256.1381255826427
N=8L=15-test2,8.0,15.0,0.006345156986184013,0.03816445871678237,261.65584771491837
N=8L=17-test2,8.0,17.0,0.005634889570648437,0.038925746105310896,188.9901297153505
N=8L=20-test2,8.0,20.0,0.008002968098236694,0.04625736536705144,237.07335174615423
N=8L=22-test2,8.0,22.0,0.008079298664900694,0.04187396002625812,136.26577812972363
N=8L=25-test2,8.0,25.0,0.007634035470762031,0.04614871281878655,119.81267533091314
N=8L=30-test2,8.0,30.0,0.012267836157557525,0.054213018801527416,148.14671882191752
N=8L=40-test2,8.0,40.0,0.008959755096366184,0.04872673112803782,142.7415919845728
N=8L=60-test2,8.0,60.0,0.024802266611814342,0.06553600581363342,446.9991709066009
N=10L=5-test2,10.0,5.0,0.00610433853116548,0.03902733772053748,6312.232099611203
N=10L=8-test2,10.0,8.0,0.00874210080447875,0.053939048170601835,5605.733317383025
N=10L=10-test2,10.0,10.0,0.009712104110051781,0.056521924879038524,2063.347837421052
N=10L=15-test2,10.0,15.0,0.016456111912696875,0.07202394318013662,919.0583923842363
N=10L=17-test2,10.0,17.0,0.014717846828690718,0.0696251416272158,603.3014181442866
N=10L=20-test2,10.0,20.0,0.0167888771119742,0.07064719313509792,581.5516852150736
N=10L=22-test2,10.0,22.0,0.029490574653276123,0.09298850646315299,454.3124865481445
N=10L=25-test2,10.0,25.0,0.02462601424732159,0.08958423170438323,374.32513510135783
N=10L=30-test2,10.0,30.0,0.02014488010735187,0.07881256039853074,265.7413134547442
N=10L=40-test2,10.0,40.0,0.025436001628119466,0.0921601269659062,379.21306314841667
N=10L=60-test2,10.0,60.0,0.07346314985480033,0.15183457025823105,814.7697116179457
N=12L=5-test2,12.0,5.0,0.0067671317128265625,0.04095762048853318,5512.088062171429
N=12L=8-test2,12.0,8.0,0.014459792224710407,0.07342054493960591,4353.168463575873
N=12L=10-test2,12.0,10.0,0.016663204212901298,0.08325386926074581,6226.57542488738
N=12L=15-test2,12.0,15.0,0.025224204878541504,0.09253358452534848,1508.132304042274
N=12L=17-test2,12.0,17.0,0.032981818114964125,0.11074277266876821,1431.3693449806144
N=12L=20-test2,12.0,20.0,0.034166553168278595,0.10952955528028424,884.8692715638173
N=12L=22-test2,12.0,22.0,0.036834190166155543,0.1132802214773682,723.3403351020293
N=12L=25-test2,12.0,25.0,0.043320843861499585,0.12537587935895364,663.6597327185339
N=12L=30-test2,12.0,30.0,0.08799774901435731,0.17105279030804654,1505.0271693328655
N=12L=40-test2,12.0,40.0,0.16526807422588632,0.24892392848539086,2015.5139935229424
N=12L=60-test2,12.0,60.0,3.9434622478418797,0.6357714727913614,4127.845319122923
N=14L=5-test2,14.0,5.0,0.003757654542808078,0.03681019742173005,3087.749787883151
N=14L=8-test2,14.0,8.0,0.009831229315519493,0.057752593687973086,4022.3606981918656
N=14L=10-test2,14.0,10.0,0.020867812319943318,0.09433645132094029,4574.328424881478
N=14L=15-test2,14.0,15.0,0.04975439204303462,0.1452209274352171,2184.2675418390895
N=14L=17-test2,14.0,17.0,0.05483664544802345,0.14555421970761384,1880.349379305185
N=14L=20-test2,14.0,20.0,0.06685815360919997,0.16206616012452027,1475.6220685502738
N=14L=22-test2,14.0,22.0,0.0755127153377205,0.1663699865066145,3018.3684930506506
